id,name,alt_name,region,country,latitude,longitude,tags,km_distance_to_ocean,is_coastal,ocean_lat1,ocean_lon1
BC664,100 Mile House,,British Columbia,CA,51.6391,-121.294,ardac,242.7,False,50.8897,-126.0765
BC982,103 Mile,,British Columbia,CA,51.689,-121.314,ardac,245.4,False,50.9387,-126.1015
BC983,105 Mile House,,British Columbia,CA,51.7069,-121.331,ardac,245.9,False,50.9559,-126.1201
BC409,108 Mile Ranch,,British Columbia,CA,51.7281,-121.351,ardac,246.6,False,50.8104,-126.1415
BC984,122 Mile House,,British Columbia,CA,51.8483,-121.599,ardac,243.7,False,50.9207,-126.1338
BC985,141 Mile House,,British Columbia,CA,51.994,-121.846,ardac,237.8,False,50.8913,-126.1259
BC782,150 Mile House,,British Columbia,CA,52.1147,-121.935,ardac,239.4,False,50.8427,-126.2233
BC677,40 Mile Flats,,British Columbia,CA,57.9363,-130.05,"ardac,ncr",181.9,False,57.1306,-132.9958
BC560,70 Mile House,,British Columbia,CA,51.3084,-121.396,ardac,213.9,False,50.887,-126.1425
BC29,93 Mile,,British Columbia,CA,51.5748,-121.341,ardac,235.5,False,50.8236,-126.1158
BC170,Abbotsford,,British Columbia,CA,49.0477,-122.27,ardac,35.2,True,48.5777,-124.0305
BC68,Aberdeen,,British Columbia,CA,49.0503,-122.411,ardac,25.5,True,48.5734,-123.9205
BC70,Adams Lake,,British Columbia,CA,50.7366,-119.321,ardac,290.8,False,48.5719,-123.8562
BC1039,Adams Lake Marine Park,,British Columbia,CA,51.1809,-119.5743,,303.0,False,,
BC1040,Adams Lake Park - Bush Creek Site,,British Columbia,CA,50.9876,-119.726,,281.5,False,,
BC973,Agassiz,,British Columbia,CA,49.2333,-121.767,ardac,75.9,True,48.6158,-124.048
BC986,Ahousat,,British Columbia,CA,49.2842,-126.074,ardac,0.7,True,49.2666,-126.0471
BC847,Ainsworth Hot Springs,,British Columbia,CA,49.7343,-116.913,ardac,421.8,False,48.2398,-123.6443
BC987,Akisqnuk,,British Columbia,CA,50.4512,-115.96,ardac,507.3,False,,
BC1041,Alaksen National Wildlife Area,,British Columbia,CA,49.1003,-123.1728,,1.8,True,,
BC275,Albert Head,,British Columbia,CA,48.3911,-123.503,ardac,1.0,True,48.2121,-123.7341
BC869,Albreda,,British Columbia,CA,52.6375,-119.162,ardac,425.8,False,50.8315,-126.2411
BC300,Aldergrove,,British Columbia,CA,49.0576,-122.471,ardac,21.7,True,48.5799,-123.9801
BC584,Alert Bay,,British Columbia,CA,50.5789,-126.92,ardac,3.8,True,50.5615,-126.892
BC1042,Alexandra Bridge Park,,British Columbia,CA,49.7055,-121.4069,,108.9,False,,
BC670,Alexis Creek,,British Columbia,CA,52.0833,-123.283,ardac,166.9,False,50.9375,-126.218
BC370,Aleza Lake,,British Columbia,CA,54.1143,-122.034,ardac,356.8,False,52.3214,-128.1423
BC1043,Aleza Lake Ecological Reserve,,British Columbia,CA,54.0819,-122.1013,,351.4,False,,
BC352,Alice Arm,,British Columbia,CA,55.4728,-129.478,ardac,0.5,True,54.9123,-130.8452
BC1044,Alice Lake Park,,British Columbia,CA,49.7822,-123.1175,,9.4,True,,
BC401,Alkali Lake,,British Columbia,CA,51.788,-122.227,ardac,203.9,False,50.8379,-126.2165
BC1045,Allison Harbour Marine Park,,British Columbia,CA,51.0512,-127.5027,,1.6,True,,
BC628,Allison Lake,,British Columbia,CA,49.6889,-120.601,ardac,165.5,False,48.4555,-123.9589
BC1046,Allison Lake Park,,British Columbia,CA,49.6827,-120.6034,,165.2,False,,
BC814,Alpine Meadows,,British Columbia,CA,50.15,-122.967,ardac,51.6,True,48.4945,-124.045
BC924,Altona,,British Columbia,CA,56.8775,-120.954,ardac,550.2,False,53.4423,-129.1425
BC1047,Ambrose Lake Ecological Reserve,,British Columbia,CA,49.7313,-124.0221,,0.2,True,,
BC935,Anahim Lake,,British Columbia,CA,52.4614,-125.303,ardac,97.7,True,51.12,-126.3522
BC1048,Anarchist Protected Area,,British Columbia,CA,49.0576,-119.4201,,228.0,False,,
BC1049,Anderson Bay Park,,British Columbia,CA,49.5132,-124.1355,,1.7,True,,
BC1050,Anderson Flats Park,,British Columbia,CA,55.2441,-127.6651,,117.1,False,,
BC440,Anglemont,,British Columbia,CA,50.9667,-119.167,ardac,312.9,False,48.4809,-123.997
BC538,Anmore,,British Columbia,CA,49.3115,-122.849,ardac,4.0,True,48.4872,-123.8754
BC1051,Anne Vallee (Triangle Island) Ecological Reserve,,British Columbia,CA,50.8625,-129.083,,26.3,True,,
BC859,Annis,,British Columbia,CA,50.7907,-119.082,ardac,308.5,False,48.4747,-123.8913
BC803,Anzac,,British Columbia,CA,54.7667,-122.5,ardac,364.6,False,53.4379,-128.9905
BC35,Apex Mountain Resort,,British Columbia,CA,49.3942,-119.907,ardac,203.1,False,48.1938,-123.7579
BC1052,Apodaca Park,,British Columbia,CA,49.3546,-123.3403,,0.3,True,,
BC1053,Arbutus Grove Park,,British Columbia,CA,49.2488,-124.151,,0.7,True,,
BC62,Arbutus Ridge,,British Columbia,CA,48.6933,-123.54,ardac,1.1,True,48.5193,-124.0218
BC725,Ardmore,,British Columbia,CA,48.6389,-123.467,ardac,0.9,True,48.4652,-123.9485
BC185,Argenta,,British Columbia,CA,50.1667,-116.917,ardac,434.7,False,48.172,-123.7341
BC660,Armstrong,,British Columbia,CA,50.4461,-119.199,ardac,285.1,False,48.4575,-123.9532
BC414,Arras,,British Columbia,CA,55.7535,-120.526,ardac,530.3,False,52.3628,-127.9952
BC1054,Arrow Lakes Park,,British Columbia,CA,50.0194,-118.0328,,353.6,False,,
BC1055,Artlish Caves Park,,British Columbia,CA,50.1392,-126.9058,,12.7,True,,
BC794,Ashcroft,,British Columbia,CA,50.721,-121.28,ardac,176.0,False,48.4584,-123.9743
BC758,Ashton Creek,,British Columbia,CA,50.556,-119.013,ardac,301.9,False,48.5803,-124.0362
